Row Range,File Name,File Path,Whitespace Ratio,Statement Words,Tabs,Underscores,Empty Lines,Mean Line Length,Mean Comment Length,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Written
40-59,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.14640198511166252,0.007444168734491315,0.04218362282878412,0.0,0.004962779156327543,0.04764267990074442,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60-79,IMQSender.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IMQSender.java,0.13333333333333333,0.008333333333333333,0.05,0.0,0.0,0.11770833333333333,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,InnerWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\InnerWorkerPool.java,0.06441717791411043,0.0,0.015337423312883436,0.003067484662576687,0.007668711656441718,0.051178559896674206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.11713286713286714,0.0,0.0,0.0,0.0034965034965034965,0.04833916083916084,0.791958041958042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.14782608695652175,0.0,0.05652173913043478,0.0,0.0,0.04586956521739131,0.24202898550724636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.1450980392156863,0.0,0.0784313725490196,0.0,0.0,0.046274509803921574,0.18627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60-79,ITaskDAO.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\ITaskDAO.java,0.1218274111675127,0.0,0.06091370558375635,0.0,0.0,0.06671501087744743,0.38578680203045684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,IWorker.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorker.java,0.11454545454545455,0.0,0.0,0.0,0.005454545454545455,0.04827272727272727,0.8454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,IWorker.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorker.java,0.13609467455621302,0.0029585798816568047,0.038461538461538464,0.0,0.0029585798816568047,0.04718934911242603,0.26479289940828404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,IWorker.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorker.java,0.11650485436893204,0.003236245954692557,0.06796116504854369,0.0,0.0,0.04692556634304207,0.17313915857605178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60-79,IWorker.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorker.java,0.1415929203539823,0.0,0.07964601769911504,0.0,0.0,0.04579646017699115,0.2286135693215339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,IWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorkerPool.java,0.10588235294117647,0.0,0.0,0.0,0.005042016806722689,0.048403361344537814,0.788235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,IWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorkerPool.java,0.11229946524064172,0.0,0.03208556149732621,0.0,0.00267379679144385,0.047459893048128345,0.1853832442067736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,IWorkerPool.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\IWorkerPool.java,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.1092436974789916,0.0,0.0,0.0,0.005042016806722689,0.048403361344537814,0.788235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.02910958904109589,0.0017123287671232876,0.0,0.0,0.005136986301369863,0.048373287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.08114035087719298,0.0021929824561403508,0.03070175438596491,0.008771929824561403,0.0043859649122807015,0.04791666666666667,0.1600877192982456,0.0024263225283107205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60-79,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.0471311475409836,0.006147540983606557,0.07581967213114754,0.014344262295081968,0.004098360655737705,0.04805327868852459,0.6454918032786885,0.016765513481405016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80-99,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.06881720430107527,0.008602150537634409,0.10967741935483871,0.0,0.0064516129032258064,0.04795698924731183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100-119,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.08083832335329341,0.005988023952095809,0.1317365269461078,0.0,0.0029940119760479044,0.04715568862275449,0.41317365269461076,0.002349479585565935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
120-139,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.05929919137466307,0.008086253369272238,0.19137466307277629,0.0,0.0,0.047439353099730464,0.0,0.014545578165626693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
140-159,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.03787878787878788,0.003787878787878788,0.0625,0.003787878787878788,0.003787878787878788,0.04820075757575758,0.0,0.02160126145277541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
160-179,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.04961832061068702,0.003816793893129771,0.0648854961832061,0.003816793893129771,0.0019083969465648854,0.048187022900763356,0.0,0.019254878479924763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
180-199,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.03523489932885906,0.0050335570469798654,0.06375838926174497,0.003355704697986577,0.0016778523489932886,0.04840604026845638,0.0,0.026654066201978684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
200-219,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.035650623885918005,0.0053475935828877,0.06417112299465241,0.0035650623885918,0.0,0.0483065953654189,0.0,0.024143829051054885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
220-239,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.03117505995203837,0.007194244604316547,0.0815347721822542,0.0,0.0,0.04772182254196642,0.0,0.02426028773137835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
240-259,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.05215419501133787,0.0022675736961451248,0.12244897959183673,0.0045351473922902496,0.0022675736961451248,0.04784580498866214,0.0,0.021494200494838127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
260-279,JMSTest.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JMSTest.java,0.1111111111111111,0.013888888888888888,0.041666666666666664,0.0,0.0,0.23958333333333334,0.0,0.012445383137314062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,JsonResult.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JsonResult.java,0.12048192771084337,0.0,0.0,0.0,0.0034423407917383822,0.04836488812392427,0.8037865748709122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,JsonResult.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JsonResult.java,0.11589403973509933,0.0,0.052980132450331126,0.0,0.009933774834437087,0.04685430463576159,0.1291390728476821,0.002347240781995197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,JsonResult.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\JsonResult.java,0.13142857142857142,0.0,0.08571428571428572,0.0,0.011428571428571429,0.053445378151260506,0.18857142857142858,0.0027499541388663726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,LessonInfo.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfo.java,0.11204013377926421,0.0,0.0,0.0,0.0033444816053511705,0.048411371237458194,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,LessonInfo.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfo.java,0.0967741935483871,0.0,0.03812316715542522,0.0,0.0,0.047214076246334315,0.2697947214076246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,LessonInfo.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfo.java,0.11926605504587157,0.0,0.07033639143730887,0.0,0.0,0.04709480122324159,0.11314984709480122,0.0046932678199029946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60-79,LessonInfo.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfo.java,0.10354223433242507,0.0,0.06267029972752043,0.0,0.0,0.04741144414168937,0.10626702997275204,0.002348789641583456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80-99,LessonInfo.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfo.java,0.11143695014662756,0.0,0.07038123167155426,0.0,0.0,0.047214076246334315,0.12316715542521994,0.004707209906397244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100-119,LessonInfo.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfo.java,0.08835341365461848,0.004016064257028112,0.07228915662650602,0.0,0.0,0.058734939759036146,0.16265060240963855,0.008971923643616245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0-19,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.1047040971168437,0.0,0.0,0.0,0.0015174506828528073,0.048558421851289835,0.7071320182094082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20-39,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.05853658536585366,0.0,0.0024390243902439024,0.0,0.007317073170731708,0.04768292682926829,0.23902439024390243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40-59,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.1144578313253012,0.002008032128514056,0.06827309236947791,0.0,0.0,0.048092369477911644,0.0,0.004868387663570199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
60-79,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.0603448275862069,0.00646551724137931,0.08620689655172414,0.0,0.0,0.047952586206896554,0.0,0.01694514836289945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80-99,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.07068607068607069,0.006237006237006237,0.07692307692307693,0.0,0.0,0.04802494802494803,0.08523908523908524,0.06687955293732664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100-119,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.09316770186335403,0.007763975155279503,0.12732919254658384,0.0,0.0,0.048524844720496896,0.20031055900621117,0.029644491163372307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
120-139,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.05705229793977813,0.00792393026941363,0.1774960380348653,0.009508716323296355,0.0,0.048494453248811416,0.7622820919175911,0.0916946590938707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
140-159,LessonInfoParser.java,C:\Users\l-tipaek\Desktop\Research\NestedBigramsResearch\Data\GPT - Rewrite\Anomalous\BingGPT4\Format\pacman\pacman\LessonInfoParser.java,0.046831955922865015,0.008264462809917356,0.1790633608815427,0.008264462809917356,0.0,0.04869146005509642,0.8939393939393939,0.041876459487087916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
